iter	Passed	Remaining
0	147	147481
1	148	74339
2	149	49818
3	150	37542
4	151	30131
5	152	25190
6	152	21671
7	153	19038
8	154	17002
9	155	15372
10	156	14029
11	156	12917
12	158	12019
13	159	11212
14	159	10497
15	160	9877
16	161	9328
17	162	8847
18	163	8425
19	163	8028
20	164	7666
21	165	7338
22	165	7042
23	166	6765
24	167	6513
25	167	6281
26	168	6067
27	169	5869
28	169	5684
29	170	5515
30	171	5355
31	172	5209
32	172	5066
33	173	4929
34	174	4803
35	174	4681
36	175	4568
37	176	4459
38	176	4357
39	177	4258
40	178	4165
41	178	4075
42	179	3989
43	179	3906
44	180	3830
45	181	3755
46	181	3684
47	182	3615
48	183	3553
49	183	3492
50	184	3434
51	185	3378
52	186	3324
53	186	3271
54	187	3220
55	188	3171
56	188	3122
57	189	3076
58	190	3031
59	190	2988
60	191	2945
61	191	2904
62	192	2866
63	193	2826
64	194	2790
65	194	2754
66	195	2719
67	195	2681
68	196	2648
69	196	2617
70	197	2587
71	198	2559
72	199	2530
73	199	2502
74	200	2475
75	201	2447
76	201	2421
77	202	2398
78	203	2373
79	204	2349
80	204	2324
81	205	2301
82	206	2279
83	206	2256
84	207	2232
85	208	2211
86	208	2188
87	209	2166
88	209	2146
89	210	2127
90	211	2108
91	211	2089
92	212	2071
93	213	2054
94	213	2037
95	214	2020
96	215	2003
97	215	1986
98	216	1970
99	217	1954
100	217	1939
101	218	1921
102	218	1906
103	219	1892
104	220	1877
105	220	1863
106	221	1848
107	222	1834
108	222	1820
109	223	1807
110	224	1794
111	224	1781
112	225	1767
113	225	1755
114	226	1743
115	227	1729
116	227	1717
117	228	1705
118	228	1693
119	229	1682
120	230	1670
121	230	1659
122	230	1646
123	231	1635
124	232	1624
125	232	1614
126	233	1603
127	233	1592
128	234	1583
129	235	1573
130	235	1563
131	236	1554
132	236	1544
133	237	1535
134	238	1525
135	238	1517
136	239	1508
137	240	1499
138	240	1491
139	241	1483
140	242	1475
141	242	1467
142	243	1458
143	243	1450
144	244	1443
145	245	1436
146	246	1428
147	246	1421
148	247	1413
149	248	1405
150	248	1398
151	249	1390
152	250	1384
153	250	1376
154	251	1368
155	251	1362
156	252	1355
157	253	1348
158	253	1341
159	254	1334
160	254	1327
161	255	1320
162	256	1314
163	256	1308
164	257	1302
165	257	1295
166	258	1289
167	259	1283
168	259	1276
169	260	1271
170	261	1265
171	261	1260
172	262	1254
173	262	1248
174	263	1242
175	264	1237
176	264	1231
177	265	1225
178	266	1220
179	266	1215
180	267	1208
181	267	1203
182	268	1197
183	268	1191
184	269	1186
185	269	1181
186	270	1176
187	271	1172
188	272	1168
189	272	1163
190	273	1158
191	274	1153
192	274	1149
193	275	1144
194	275	1139
195	276	1134
196	277	1130
197	278	1126
198	278	1122
199	279	1117
200	279	1112
201	280	1107
202	280	1103
203	281	1098
204	282	1093
205	282	1089
206	283	1085
207	284	1081
208	284	1076
209	285	1072
210	285	1068
211	286	1064
212	286	1060
213	287	1055
214	288	1051
215	288	1048
216	289	1043
217	289	1039
218	290	1036
219	291	1032
220	291	1028
221	292	1024
222	292	1020
223	293	1016
224	294	1013
225	294	1009
226	295	1006
227	296	1002
228	296	999
229	297	995
230	298	992
231	298	988
232	299	984
233	299	981
234	300	977
235	300	974
236	301	970
237	302	967
238	302	964
239	303	960
240	303	956
241	304	953
242	305	950
243	305	947
244	306	944
245	306	940
246	307	937
247	308	934
248	308	930
249	309	928
250	310	925
251	310	922
252	311	919
253	311	916
254	312	913
255	313	909
256	313	906
257	314	903
258	314	900
259	315	897
260	316	894
261	316	891
262	317	888
263	317	885
264	318	883
265	319	880
266	319	877
267	320	874
268	320	871
269	321	868
270	321	866
271	322	863
272	323	860
273	323	857
274	324	854
275	324	852
276	325	849
277	326	846
278	326	844
279	327	842
280	328	839
281	328	836
282	329	834
283	329	831
284	330	828
285	330	826
286	331	823
287	332	821
288	332	818
289	333	816
290	333	813
291	334	811
292	335	808
293	335	805
294	336	803
295	336	801
296	337	798
297	338	796
298	338	793
299	339	791
300	339	789
301	340	786
302	341	784
303	341	782
304	342	779
305	342	777
306	343	775
307	344	773
308	345	771
309	345	769
310	346	767
311	347	765
312	347	763
313	348	761
314	349	759
315	349	756
316	350	754
317	350	752
318	351	750
319	352	748
320	352	746
321	353	744
322	354	742
323	355	740
324	355	738
325	356	736
326	356	733
327	357	731
328	357	729
329	358	727
330	359	725
331	359	723
332	360	722
333	361	720
334	361	718
335	362	716
336	363	714
337	363	712
338	364	710
339	365	709
340	365	707
341	366	705
342	367	703
343	367	701
344	368	699
345	368	696
346	369	695
347	370	693
348	370	691
349	371	689
350	371	687
351	372	685
352	372	683
353	373	681
354	374	679
355	374	677
356	375	675
357	375	674
358	376	672
359	377	670
360	377	668
361	378	666
362	378	664
363	379	663
364	380	661
365	380	659
366	381	658
367	382	656
368	382	654
369	383	652
370	384	651
371	384	649
372	385	647
373	386	646
374	386	644
375	387	643
376	388	641
377	388	639
378	389	638
379	390	636
380	390	634
381	391	633
382	392	632
383	393	630
384	393	629
385	394	627
386	395	625
387	395	624
388	396	622
389	397	621
390	397	619
391	398	618
392	399	616
393	399	614
394	400	613
395	401	611
396	401	610
397	402	608
398	403	607
399	403	605
400	404	604
401	405	602
402	406	602
403	407	601
404	408	600
405	409	598
406	410	597
407	410	596
408	411	594
409	412	593
410	412	591
411	413	590
412	414	588
413	414	587
414	415	586
415	416	584
416	417	583
417	417	581
418	418	580
419	419	578
420	419	577
421	420	576
422	421	574
423	421	573
424	422	571
425	423	570
426	424	569
427	425	568
428	425	566
429	426	565
430	427	564
431	427	562
432	428	561
433	429	559
434	429	558
435	430	556
436	431	555
437	432	554
438	432	552
439	433	551
440	433	549
441	434	548
442	435	547
443	435	545
444	436	544
445	437	542
446	437	541
447	438	540
448	438	538
449	439	536
450	439	535
451	440	534
452	441	533
453	442	531
454	443	530
455	443	529
456	444	527
457	444	526
458	445	525
459	446	523
460	446	522
461	447	520
462	448	519
463	448	518
464	449	517
465	449	515
466	450	514
467	451	512
468	451	511
469	452	510
470	453	508
471	453	507
472	454	505
473	454	504
474	455	503
475	456	502
476	456	500
477	457	499
478	458	498
479	458	497
480	459	495
481	460	494
482	460	493
483	461	491
484	462	490
485	462	489
486	463	488
487	463	486
488	464	485
489	465	484
490	465	482
491	466	481
492	467	480
493	468	479
494	469	478
495	469	477
496	470	476
497	471	474
498	471	473
499	472	472
500	473	471
501	473	470
502	474	468
503	475	467
504	475	466
505	476	465
506	477	464
507	478	462
508	478	461
509	479	460
510	480	459
511	480	458
512	481	457
513	482	455
514	482	454
515	483	453
516	484	452
517	484	451
518	485	449
519	485	448
520	486	447
521	487	446
522	487	444
523	488	443
524	489	442
525	489	441
526	490	440
527	491	439
528	491	438
529	492	436
530	493	435
531	493	434
532	494	432
533	494	431
534	495	430
535	496	429
536	496	428
537	497	427
538	498	426
539	498	424
540	499	423
541	500	422
542	501	421
543	501	420
544	502	419
545	502	418
546	503	417
547	504	415
548	504	414
549	505	413
550	506	412
551	507	411
552	507	410
553	508	409
554	509	408
555	509	407
556	510	406
557	511	404
558	511	403
559	512	402
560	513	401
561	513	400
562	514	399
563	514	398
564	515	396
565	516	395
566	517	394
567	517	393
568	518	392
569	519	391
570	520	390
571	520	389
572	521	388
573	522	387
574	523	386
575	523	385
576	524	384
577	525	383
578	525	382
579	526	381
580	527	380
581	527	379
582	528	377
583	529	376
584	529	375
585	530	374
586	530	373
587	531	372
588	532	371
589	533	370
590	533	369
591	534	368
592	534	367
593	535	365
594	535	364
595	536	363
596	537	362
597	538	361
598	538	360
599	539	359
600	540	358
601	540	357
602	541	356
603	542	355
604	542	354
605	543	353
606	544	352
607	545	351
608	545	350
609	546	349
610	547	348
611	547	347
612	548	346
613	549	345
614	549	344
615	550	343
616	551	342
617	551	341
618	552	339
619	553	338
620	553	337
621	554	337
622	555	336
623	556	335
624	556	334
625	557	333
626	558	331
627	558	330
628	559	330
629	560	329
630	560	328
631	561	327
632	562	325
633	562	324
634	563	323
635	564	322
636	564	321
637	565	320
638	566	319
639	566	318
640	567	317
641	568	316
642	568	315
643	569	314
644	569	313
645	570	312
646	571	311
647	572	310
648	572	309
649	573	308
650	573	307
651	574	306
652	574	305
653	575	304
654	576	303
655	576	302
656	577	301
657	578	300
658	578	299
659	579	298
660	579	297
661	580	296
662	581	295
663	581	294
664	582	293
665	583	292
666	583	291
667	584	290
668	584	289
669	585	288
670	586	287
671	586	286
672	587	285
673	588	284
674	588	283
675	589	282
